Exercise,Primary_Muscles,Secondary_Muscles,Type,Equipment,Level,Body_Region,Movement,Modality,Functional_Groups,Steps_for_Beginners,Advanced_Key_Points,Scientific_Reference,Sports_Tags
Ab-Cycle (Bicycle Crunches),,,Isolation,Bodyweight,Beginner to Intermediate,Core,Dynamic,Bodyweight,,1.,1.,,"American Football, Rugby, Basketball, Soccer/Football, Tennis, Baseball/Softball, Golf, Mixed Martial Arts (MMA), Boxing, Swimming, Track & Field - Throwing Events, Ice Hockey"
Box Jumps,,,Compound,Plyometric Box,Intermediate to Advanced,Lower Body,Explosive,Bodyweight + Equipment,Full_Body_Movements; Quads_Hamstrings_Glutes; Legs_Quadriceps; Gluteals,1.,1.,,"Basketball, Volleyball, American Football, Track & Field - High Jump, Track & Field - Long Jump, Soccer/Football, Rugby, Netball, CrossFit, Parkour/Freerunning, Figure Skating, Beach Volleyball"
Broad Jumps (Standing Long Jump),,,Compound,Bodyweight,Beginner to Advanced,Lower Body,Explosive,Bodyweight,Full_Body_Movements; Quads_Hamstrings_Glutes; Legs_Quadriceps; Gluteals,1.,1.,,"Track & Field - Long Jump, Track & Field - Triple Jump, American Football, Rugby, Basketball, Soccer/Football, Speed Skating, CrossFit, Parkour/Freerunning, Baseball/Softball, Tennis, Volleyball"
Squat Jumps,,,Compound,Bodyweight,Beginner to Advanced,Lower Body,Explosive,Bodyweight,Full_Body_Movements; Quads_Hamstrings_Glutes; Legs_Quadriceps,1.,1.,,"Basketball, Volleyball, Track & Field - High Jump, Track & Field - Sprinting, Alpine Skiing, Speed Skating, American Football, Rugby, Soccer/Football, Figure Skating, Gymnastics, Mixed Martial Arts (MMA)"
Superman,,,Isolation,Bodyweight,Beginner to Intermediate,Core & Posterior Chain,Static Hold,Bodyweight,Lower_Back_Erector_Spinae,1.,1.,,"Swimming, Gymnastics, Figure Skating, Diving, CrossFit, Rowing, Cycling, Track & Field - Sprinting, Wrestling, Rugby, American Football, Rock Climbing"
Superman Hold (Isometric Back Extension Hold),,,Isolation,Bodyweight,Intermediate to Advanced,Core & Posterior Chain,Static Hold,Bodyweight,Lower_Back_Erector_Spinae,1.,1.,,"Swimming, Rowing, Cycling, CrossFit, Gymnastics, Figure Skating, Rock Climbing, Wrestling, Track & Field - Distance Running, Triathlon, Skiing - Nordic/Cross-Country, American Football - Linemen"
Clean (Power Clean),"Gluteus Maximus, Semitendinosus, Biceps Femoris, Vastus Lateralis, Vastus Medialis, Erector Spinae, Trapezius (Upper and Middle)","Gastrocnemius, Soleus, Deltoids (Anterior, Medial), Rhomboids, Rectus Abdominis, Obliques, Multifidus",Compound,"Barbell, Bumper Plates",Advanced,Full Body,Explosive,Free Weight,Lower_Back_Erector_Spinae; Back_Latissimus_Dorsi; Gluteals; Arms_Biceps; Full_Body_Movements; Legs_Quadriceps; Shoulders_Delts_and_Traps; Quads_Hamstrings_Glutes; Legs_Hamstrings; Trapezius_and_Rhomboids,1.,1.,,"Weightlifting, CrossFit, American Football, Basketball, Track and Field (Sprints, Jumps, Throws), Rugby, Wrestling, MMA, Volleyball, Soccer, Bobsledding."
Clean and Jerk,"Gluteus Maximus, Quadriceps, Erector Spinae, Deltoids, Triceps Brachii, Trapezius","Hamstrings, Gastrocnemius, Soleus, Rectus Abdominis, Obliques, Serratus Anterior, Pectoralis Major (Clavicular Head)",Compound,"Barbell, Bumper Plates",Advanced,Full Body,Explosive,Free Weight,Lower_Back_Erector_Spinae; Back_Latissimus_Dorsi; Arms_Triceps; Gluteals; Full_Body_Movements; Quads_Hamstrings_Glutes; Legs_Quadriceps; Shoulders_Delts_and_Traps; Trapezius_and_Rhomboids,1.,1.,,"Weightlifting, CrossFit, Strongman, Olympic Sports, Throwing Events (Shot Put, Discus), American Football, Rugby, Combat Sports, Gymnastics."
Hang Clean,"Gluteus Maximus, Hamstrings (Biceps Femoris, Semitendinosus), Trapezius (Upper, Middle), Erector Spinae, Deltoids","Quadriceps, Gastrocnemius, Rhomboids, Rectus Abdominis, Obliques",Compound,"Barbell, Bumper Plates",Advanced,Full Body,Explosive,Free Weight,Lower_Back_Erector_Spinae; Back_Latissimus_Dorsi; Gluteals; Arms_Biceps; Full_Body_Movements; Legs_Quadriceps; Shoulders_Delts_and_Traps; Quads_Hamstrings_Glutes; Legs_Hamstrings; Trapezius_and_Rhomboids,1.,1.,,"CrossFit, American Football, Rugby, Track and Field (Sprints, Jumps), Basketball, Volleyball, Wrestling, Bobsledding, Soccer, Tennis."
Snatch (Power Snatch),"Gluteus Maximus, Hamstrings, Quadriceps, Erector Spinae, Deltoids, Trapezius","Gastrocnemius, Rhomboids, Serratus Anterior, Triceps Brachii, Rectus Abdominis, Obliques",Compound,"Barbell, Bumper Plates",Advanced,Full Body,Explosive,Free Weight,Lower_Back_Erector_Spinae; Back_Latissimus_Dorsi; Gluteals; Full_Body_Movements; Quads_Hamstrings_Glutes; Legs_Quadriceps; Shoulders_Delts_and_Traps; Legs_Hamstrings; Trapezius_and_Rhomboids,1.,1.,,"Weightlifting, CrossFit, Track and Field (Throws, Jumps), Gymnastics, Diving, American Football, Rugby, Volleyball, Martial Arts."
Thruster,"Gluteus Maximus, Quadriceps, Deltoids (Anterior, Medial), Triceps Brachii","Hamstrings, Erector Spinae, Rectus Abdominis, Obliques, Trapezius, Serratus Anterior",Compound,"Barbell, Dumbbells, or Kettlebells",Intermediate/Advanced,Full Body,Explosive,Free Weight,Arms_Triceps; Gluteals; Full_Body_Movements; Quads_Hamstrings_Glutes; Legs_Quadriceps; Shoulders_Delts_and_Traps,1.,1.,,"CrossFit, Functional Fitness, MMA, Wrestling, Rugby, American Football, Basketball, Military/Tactical Conditioning, Strongman."
Kettlebell Swings,"Gluteus Maximus, Hamstrings, Erector Spinae","Latissimus Dorsi, Deltoids (Anterior), Rectus Abdominis, Obliques, Quadriceps, Forearm Flexors (Grip)",Compound,Kettlebell,Intermediate,Full Body,Explosive,Free Weight,Full_Body_Movements; Lower_Back_Erector_Spinae; Legs_Hamstrings; Gluteals,1.,1.,,"General Conditioning, MMA, Brazilian Jiu-Jitsu, Wrestling, Track and Field, American Football, Rugby, CrossFit, Fat Loss Programs, Lower Back Health."
Prowler Push,"Quadriceps (Vastus Lateralis, Vastus Medialis, Rectus Femoris), Gluteus Maximus, Gastrocnemius, Soleus","Hamstrings, Erector Spinae, Rectus Abdominis, Obliques, Deltoids (Anterior), Pectoralis Major, Triceps Brachii (as stabilizers)",Compound,Prowler / Sled,Beginner to Advanced (scalable by load and speed),Full Body,Push,Other (Weighted Sled),Back_Latissimus_Dorsi; Gluteals; Full_Body_Movements; Quads_Hamstrings_Glutes; Legs_Quadriceps; Calves_Soleus; Calves_Gastrocnemius,1.,1.,,"American Football (Linemen), Rugby (Forwards), Strongman, Sprinting, Field Hockey, Soccer, General Conditioning, Metabolic Conditioning (MetCon), Team Sports, Firefighter/Military Training."
Kettlebell Row (Double Arm),"Latissimus Dorsi, Rhomboids, Trapezius (Middle and Lower)","Biceps Brachii, Erector Spinae, Hamstrings, Gluteus Maximus, Posterior Deltoids, Forearm Flexors (Grip)",Compound,Two Kettlebells,Intermediate,Upper Body,Pull,Free Weight,Back_Latissimus_Dorsi; Trapezius_and_Rhomboids,,,,
Kettlebell Row (Single Arm),"Latissimus Dorsi, Rhomboids, Trapezius (Middle and Lower), Obliques (contralateral)","Biceps Brachii, Erector Spinae, Hamstrings, Gluteus Maximus, Posterior Deltoids, Quadratus Lumborum",Compound,"Kettlebell, Optional: Bench",Intermediate,Upper Body / Core,Pull,Free Weight,Back_Latissimus_Dorsi; Trapezius_and_Rhomboids; Abdominal_Obliques,,,,
Machine Row,"Latissimus Dorsi, Rhomboids, Trapezius (Middle)","Biceps Brachii, Posterior Deltoids, Erector Spinae (as stabilizers)",Compound,Seated Row Machine,Beginner,Upper Body,Pull,Machine,Back_Latissimus_Dorsi; Trapezius_and_Rhomboids,,,,
Suspended Row,"Latissimus Dorsi, Rhomboids, Trapezius (Middle)","Biceps Brachii, Posterior Deltoids, Erector Spinae, Rectus Abdominis, Obliques, Gluteus Maximus",Compound,"Suspension Trainer (e.g., TRX)",Beginner to Advanced,Upper Body / Core,Pull,Bodyweight,Back_Latissimus_Dorsi; Trapezius_and_Rhomboids,,,,
Suspended Reverse Mountain Climbers,"Rectus Abdominis, Obliques (Internal and External)","Transverse Abdominis, Hip Flexors (Iliopsoas, Rectus Femoris), Serratus Anterior, Deltoids, Triceps Brachii",Compound,"Suspension Trainer (e.g., TRX)",Advanced,Core,Static (Plank Hold) / Dynamic (Knee Drive),Bodyweight,Full_Core; Total_Core; Abdominal_Obliques; Abdominal_Lower,,,,
Conditioning Ball Reverse Jack Knife,"Rectus Abdominis (especially lower fibers), Transverse Abdominis, Hip Flexors (Iliopsoas, Rectus Femoris)","Obliques, Serratus Anterior, Quadriceps, Deltoids, Triceps Brachii",Compound,Stability Ball (Swiss Ball),Intermediate/Advanced,Core,Dynamic,Bodyweight / Stability Ball,Total_Core; Full_Core; Legs_Quadriceps; Chest_Pectoralis; Abdominal_Lower,,,,
