"Exercise","Primary Muscles","Secondary Muscles","Type","Equipment","Level","Body Region","Movement","Modality","Steps for Beginners","Advanced Key Points","Scientific Reference","Sports Tags","ExRx Video","JEFIT Video","CoachWhitt Video"
"Barbell Bench Press","Pectoralis Major (sternal, clavicular)","Anterior Deltoid, Triceps Brachii","Compound","Barbell, Bench","Intermediate","Upper","Push","Free Weight","1. Lie flat on bench, eyes under bar 2. Grip bar slightly wider than shoulders 3. Unrack and lower to mid-chest 4. Press to lockout 5. Maintain 5-point contact","1. Retract scapulae throughout 2. Leg drive initiates press 3. Bar path slightly diagonal 4. Maintain wrist alignment 5. Control eccentric 2-3 sec","Lehman GJ (2005). The influence of grip width and forearm pronation/supination on upper-body myoelectric activity. J Strength Cond Res 19(3):587-591","Powerlifting, Football, Rugby, Wrestling","https://exrx.net/WeightExercises/PectoralSternal/BBBenchPress","https://www.jefit.com/exercises/2/barbell-bench-press","[TBD]"
"Incline Dumbbell Press","Pectoralis Major (clavicular emphasis)","Anterior Deltoid, Triceps Brachii, Serratus Anterior","Compound","Dumbbells, Incline Bench (30-45°)","Advanced","Upper","Push","Free Weight","1. Set bench to 30-45 degrees 2. Start with dumbbells at shoulder height 3. Press up and slightly together 4. Lower with control to stretch 5. Avoid excessive arch","1. Greater ROM than barbell 2. Converge at top (slight medial rotation) 3. Elbows 45° from torso 4. Maintain shoulder depression 5. Unilateral stabilization demands","Barnett C et al. (1995). Effects of variations of the bench press exercise on the EMG activity of five shoulder muscles. J Strength Cond Res 9(4):222-227","Basketball, Volleyball, Tennis, Boxing","https://exrx.net/WeightExercises/PectoralClavicular/DBInclineBenchPress","https://www.jefit.com/exercises/31/dumbbell-incline-bench-press","[TBD]"
"Dips (Chest Emphasis)","Pectoralis Major (sternal), Triceps","Anterior Deltoid, Serratus Anterior","Compound","Parallel Bars or Dip Station","Intermediate","Upper","Push","Bodyweight","1. Grip bars shoulder-width 2. Lean forward 20-30° 3. Lower until stretch felt 4. Press up maintaining lean 5. Avoid shoulder impingement","1. Forward lean activates chest 2. Elbows flared 45° 3. Full ROM crucial 4. Scapular protraction at top 5. Control descent 3 sec","Gołaś A et al. (2017). Optimizing half squat postactivation potentiation with handheld loading. J Strength Cond Res 31(11):3033-3038","Gymnastics, CrossFit, MMA, Climbing","https://exrx.net/WeightExercises/PectoralSternal/BWChestDip","https://www.jefit.com/exercises/24/dip","[TBD]"
"Cable Crossover (Mid-Height)","Pectoralis Major (sternal, clavicular)","Anterior Deltoid","Isolation","Cable Machine","Advanced","Upper","Push","Cables","1. Set cables at shoulder height 2. Step forward, slight bend 3. Bring hands together 4. Squeeze at midline 5. Return with control","1. Constant tension advantage 2. Hands cross over midline 3. Slight internal rotation 4. Maintain posture/avoid leaning 5. Peak contraction hold 1-2 sec","Welsch EA et al. (2005). Electromyographic activity of the pectoralis major and anterior deltoid muscles during three upper-body lifts. J Strength Cond Res 19(2):449-452","Bodybuilding, Aesthetic Sports","https://exrx.net/WeightExercises/PectoralSternal/CBStandingFly","https://www.jefit.com/exercises/1057/cable-mid-chest-crossover","[TBD]"
"Push-Ups (Standard)","Pectoralis Major, Triceps","Anterior Deltoid, Serratus Anterior, Core","Compound","Bodyweight","Beginner","Upper","Push","Bodyweight","1. Hands shoulder-width 2. Body straight line 3. Lower chest to floor 4. Press to full extension 5. Engage core throughout","1. Scapular protraction crucial 2. Hollow body position 3. Hands under shoulders 4. Full ROM essential 5. Tempo control (2-0-2)","Freeman S et al. (2006). Quantifying muscle patterns and spine load during various forms of the push-up. Med Sci Sports Exerc 38(3):570-577","Military, General Fitness, Calisthenics","https://exrx.net/WeightExercises/PectoralSternal/BWPushup","https://www.jefit.com/exercises/47/push-up","[TBD]"
"Decline Barbell Press","Pectoralis Major (lower sternal emphasis)","Triceps, Anterior Deltoid","Compound","Barbell, Decline Bench (15-30°)","Advanced","Upper","Push","Free Weight","1. Secure feet in decline bench 2. Unrack with spotter 3. Lower to lower chest 4. Press to lockout 5. Controlled tempo","1. Emphasizes lower pec fibers 2. Shorter ROM than flat 3. Reduced shoulder stress 4. Higher loads possible 5. Avoid excessive decline","Glass SC, Armstrong T (1997). Electromyographical activity of the pectoralis muscle during incline and decline bench presses. J Strength Cond Res 11(3):163-167","Powerlifting, Bodybuilding","https://exrx.net/WeightExercises/PectoralSternal/BBDeclineBenchPress","https://www.jefit.com/exercises/5/barbell-decline-bench-press","[TBD]"
"Dumbbell Flyes","Pectoralis Major","Anterior Deltoid, Biceps Brachii (long head)","Isolation","Dumbbells, Flat Bench","Beginner","Upper","Push","Free Weight","1. Start with dumbbells pressed up 2. Slight elbow bend (fixed) 3. Arc out to sides 4. Deep stretch position 5. Return same arc path","1. Fixed elbow angle throughout 2. Eccentric 3-4 sec critical 3. Stretch emphasis exercise 4. Lighter loads required 5. Avoid going too deep","Welsch EA et al. (2005). EMG activity of pectoralis major during upper-body lifts. J Strength Cond Res 19(2):449-452","Bodybuilding, Rehabilitation","https://exrx.net/WeightExercises/PectoralSternal/DBFly","https://www.jefit.com/exercises/41/dumbbell-fly","[TBD]"
"Incline Barbell Bench Press","Pectoralis Major (clavicular/upper chest)","Anterior Deltoids, Triceps","Compound","Barbell, Incline Bench (30-45°)","Advanced","Upper","Push","Free Weight","1. Set bench to 30-45 degrees 2. Wide overhand grip 3. Unrack with spotter 4. Lower to upper chest 5. Press to lockout","1. 44° incline optimal for clavicular head 2. Targets upper chest fibers 3. Grip slightly wider than flat bench 4. Maintain scapular retraction 5. Controlled eccentric essential","Barnett C et al. (1995). Effects of bench press variations on EMG. J Strength Cond Res 9(4):222-227","Bodybuilding, Strength Sports","https://exrx.net/WeightExercises/PectoralClavicular/BBInclineBenchPress","https://www.jefit.com/exercises/8/barbell-incline-bench-press","[TBD]"
"Machine Chest Press","Pectoralis Major (sternal)","Triceps, Anterior Deltoids","Compound","Chest Press Machine","Beginner","Upper","Push","Fixed Resistance","1. Adjust seat height (handles at chest) 2. Grip handles 3. Press until arms extended 4. Control return to start 5. Avoid locking elbows","1. Fixed movement path 2. Reduced stabilizer demand 3. Safe for beginners 4. Consistent tension on chest 5. Can load heavier safely","Schoenfeld BJ et al. (2010). Mechanisms of muscle hypertrophy. J Strength Cond Res 24(10):2857-2872","Beginner Training, Bodybuilding, Rehabilitation","https://exrx.net/WeightExercises/PectoralSternal/LVChestPress","https://www.jefit.com/exercises/163/machine-bench-press","[TBD]"
"Pec Deck Machine","Pectoralis Major","Anterior Deltoid","Isolation","Pec Deck Machine","Beginner","Upper","Push","Fixed Resistance","1. Adjust seat height (arms level) 2. Place forearms on pads 3. Bring arms together 4. Squeeze at midline 5. Return with control","1. Fixed movement path 2. Reduced stabilizer demand 3. Easy to reach failure safely 4. Consistent tension 5. Ideal for burnout sets","Welsch EA et al. (2005). EMG activity during chest exercises. J Strength Cond Res 19(2):449-452","Bodybuilding, Beginner Training, Rehabilitation","https://exrx.net/WeightExercises/PectoralSternal/LVPecDeckFly","https://www.jefit.com/exercises/45/machine-fly","[TBD]"
"Conventional Deadlift","Erector Spinae, Gluteus Maximus, Hamstrings","Latissimus Dorsi, Trapezius, Quadriceps, Forearms","Compound","Barbell","Advanced","Upper","Pull","Free Weight","1. Feet hip-width, bar over mid-foot 2. Hip hinge, grip bar 3. Chest up, neutral spine 4. Drive through floor 5. Lockout hips and knees","1. Maintain neutral spine throughout 2. Lats engaged (bend bar cue) 3. Bar path vertical 4. Hip hinge pattern crucial 5. Proper bracing essential","Swinton PA et al. (2011). A biomechanical analysis of straight and hexagonal barbell deadlifts. J Strength Cond Res 25(7):2000-2009","Powerlifting, Strongman, General Strength","https://exrx.net/WeightExercises/ErectorSpinae/BBDeadlift","https://www.jefit.com/exercises/14/barbell-deadlift","[TBD]"
"Pull-Ups (Wide Grip)","Latissimus Dorsi","Biceps Brachii, Lower Trapezius, Rhomboids, Posterior Deltoid","Compound","Pull-Up Bar","Intermediate","Upper","Pull","Bodyweight","1. Grip bar wider than shoulders 2. Hang with arms extended 3. Pull chest to bar 4. Squeeze scapulae 5. Lower with control","1. Initiate with scapular depression 2. Lead with chest, not chin 3. Full ROM essential 4. Avoid kipping 5. Dead hang each rep","Youdas JW et al. (2010). Surface EMG comparison during pull-up variations. J Strength Cond Res 24(7):1941-1949","Gymnastics, CrossFit, Military, Climbing","https://exrx.net/WeightExercises/LatissimusDorsi/BWPullup","https://www.jefit.com/exercises/46/pull-up","[TBD]"
"Barbell Bent-Over Row","Latissimus Dorsi, Rhomboids, Middle Trapezius","Erector Spinae, Posterior Deltoid, Biceps","Compound","Barbell","Intermediate","Upper","Pull","Free Weight","1. Hip hinge 45° forward 2. Grip shoulder-width or wider 3. Row to lower ribcage 4. Squeeze scapulae 5. Lower with control","1. Maintain hip hinge position 2. Horizontal pull emphasis 3. Elbow path crucial 4. Avoid excessive momentum 5. Retract and depress scapulae","Fenwick CM et al. (2009). Comparison of different rowing exercises. Med Sci Sports Exerc 41(5):1265-1270","Rowing, Powerlifting, General Strength","https://exrx.net/WeightExercises/BackGeneral/BBBentOverRow","https://www.jefit.com/exercises/3/barbell-bent-over-row","[TBD]"
"Lat Pulldown (Front)","Latissimus Dorsi","Biceps Brachii, Lower Trapezius, Rhomboids","Compound","Lat Pulldown Machine","Beginner","Upper","Pull","Fixed Resistance","1. Secure thighs under pad 2. Grip bar wider than shoulders 3. Pull to upper chest 4. Lean back slightly (15°) 5. Control ascent","1. Initiate with scapular depression 2. Pull to clavicles, not waist 3. Elbows down and back 4. Avoid excessive lean 5. Squeeze lats at bottom","Andersen V et al. (2014). Muscle activation during pull-up variations. J Strength Cond Res 28(4):1135-1142","Bodybuilding, General Fitness","https://exrx.net/WeightExercises/LatissimusDorsi/CBFrontLatPulldown","https://www.jefit.com/exercises/157/lat-pulldown","[TBD]"
"Seated Cable Row","Latissimus Dorsi, Rhomboids, Middle Trapezius","Biceps, Posterior Deltoid, Erector Spinae","Compound","Cable Machine","Beginner","Upper","Pull","Cables","1. Sit with feet on platform 2. Grip handle, slight knee bend 3. Row to abdomen 4. Squeeze scapulae together 5. Extend arms fully","1. Torso upright throughout 2. Drive elbows back 3. Scapular retraction emphasis 4. Avoid excessive trunk movement 5. Full stretch at extension","Fenwick CM et al. (2009). EMG comparison of rowing exercises. Med Sci Sports Exerc 41(5):1265-1270","Rowing, Bodybuilding, Rehabilitation","https://exrx.net/WeightExercises/BackGeneral/CBSeatedRow","https://www.jefit.com/exercises/160/seated-cable-row","[TBD]"
"Single-Arm Dumbbell Row","Latissimus Dorsi, Rhomboids, Trapezius","Posterior Deltoid, Biceps, Core (anti-rotation)","Compound","Dumbbell, Bench","Intermediate","Upper","Pull","Free Weight","1. Hand and knee on bench 2. Dumbbell in opposite hand 3. Row to hip/ribcage 4. Squeeze at top 5. Lower with control","1. Unilateral anti-rotation demand 2. Greater ROM than barbell 3. Avoid trunk rotation 4. Pull to hip, not shoulder 5. Maintain neutral spine","Lehman GJ et al. (2004). Muscle recruitment patterns during the prone row. J Strength Cond Res 18(4):804-808","General Strength, Bodybuilding, Sports Performance","https://exrx.net/WeightExercises/BackGeneral/DBBentOverRow","https://www.jefit.com/exercises/33/one-arm-dumbbell-row","[TBD]"
"T-Bar Row","Latissimus Dorsi, Rhomboids, Middle Trapezius","Erector Spinae, Posterior Deltoid, Biceps","Compound","T-Bar Row Machine or Landmine","Intermediate","Upper","Pull","Free Weight","1. Straddle bar, hip hinge 2. Grip handles 3. Row to chest/abdomen 4. Squeeze scapulae 5. Lower to full extension","1. Neutral grip reduces bicep involvement 2. Thick back development 3. Heavy loading possible 4. Maintain hip hinge 5. Stable base crucial","Fenwick CM et al. (2009). EMG analysis of rowing variations. Med Sci Sports Exerc 41(5):1265-1270","Bodybuilding, Powerlifting","https://exrx.net/WeightExercises/BackGeneral/BBTBarRow","https://www.jefit.com/exercises/87/t-bar-row","[TBD]"
"Chin-Ups (Supinated Grip)","Latissimus Dorsi, Biceps Brachii","Lower Trapezius, Rhomboids, Brachialis","Compound","Pull-Up Bar","Intermediate","Upper","Pull","Bodyweight","1. Grip bar shoulder-width, palms facing 2. Hang at full extension 3. Pull chest to bar 4. Squeeze back muscles 5. Lower 3 seconds","1. Greater bicep activation vs pull-ups 2. Slightly easier than pull-ups 3. Full ROM critical 4. Scapular mechanics key 5. Avoid momentum","Youdas JW et al. (2010). EMG of pull-up variations. J Strength Cond Res 24(7):1941-1949","Gymnastics, Climbing, General Fitness","https://exrx.net/WeightExercises/LatissimusDorsi/BWUnderhandChinup","https://www.jefit.com/exercises/23/chin-up","[TBD]"
"Face Pulls","Posterior Deltoid, Rhomboids, Middle/Lower Trapezius","Rotator Cuff, Upper Trapezius","Isolation","Cable Machine with Rope","Beginner","Upper","Pull","Cables","1. Set cable at upper height 2. Grip rope, thumbs to chest 3. Pull to face level 4. External rotation at end 5. Squeeze scapulae","1. Shoulder health exercise 2. External rotation crucial 3. High rep ranges effective 4. Pull apart at finish 5. Retraction emphasis","Schoenfeld BJ et al. (2013). Effects of varied resistance training protocols. J Strength Cond Res 27(8):2240-2249","Overhead Athletes, Shoulder Rehabilitation","https://exrx.net/WeightExercises/DeltoidPosterior/CBRearDeltRow","https://www.jefit.com/exercises/1059/cable-face-pull","[TBD]"
"Inverted Bodyweight Row","Latissimus Dorsi, Rhomboids, Trapezius","Biceps, Posterior Deltoid, Core","Compound","Barbell in Rack or TRX","Beginner","Upper","Pull","Bodyweight","1. Grip bar, body under it 2. Body straight, heels on ground 3. Pull chest to bar 4. Squeeze scapulae 5. Lower with control","1. Scalable by bar height 2. Scapular mechanics identical 3. Core engagement throughout 4. Regression for pull-ups 5. High rep capacity","Contreras B et al. (2013). Comparison of upper body exercises. J Strength Cond Res 27(5):1302-1309","Calisthenics, Beginner Training, Rehabilitation","https://exrx.net/WeightExercises/BackGeneral/BWSupineRow","https://www.jefit.com/exercises/170/inverted-row","[TBD]"
"Barbell Overhead Press","Anterior/Medial Deltoid","Triceps, Upper Trapezius, Serratus Anterior, Upper Pectoralis","Compound","Barbell","Intermediate","Upper","Push","Free Weight","1. Bar at clavicles, hands shoulder-width 2. Brace core, press overhead 3. Lock out fully 4. Lower to clavicles 5. Maintain vertical bar path","1. Full overhead lockout essential 2. Avoid excessive low back arch 3. Squeeze glutes for stability 4. Bar path around face 5. Greater stabilizer demand than dumbbell","Saeterbakken AH et al. (2013). Effects of body position and loading modality on muscle activity during shoulder exercises. J Strength Cond Res 27(7):1824-1831","Olympic Lifting, Strongman, CrossFit, Military","https://exrx.net/WeightExercises/Deltoid Anterior/BBMilitaryPress","https://www.jefit.com/exercises/11/military-press","[TBD]"
"Dumbbell Lateral Raise","Medial Deltoid","Anterior Deltoid, Supraspinatus, Upper Trapezius","Isolation","Dumbbells","Beginner","Upper","Push","Free Weight","1. Stand with dumbbells at sides 2. Slight forward lean 3. Raise to shoulder height 4. Slight bend in elbows 5. Lower with control","1. Neutral or internal rotation thumb position 2. Control eccentric 3 sec 3. Stop at shoulder height 4. Avoid momentum/swinging 5. Scapular stability crucial","Campos YAC et al. (2020). Different shoulder exercises and EMG activity. J Hum Kinet 75:5-14","Bodybuilding, Shoulder Development, Aesthetic Sports","https://exrx.net/WeightExercises/DeltoidLateral/DBLateralRaise","https://www.jefit.com/exercises/38/dumbbell-lateral-raise","[TBD]"
"Seated Dumbbell Press","Anterior/Medial Deltoid","Triceps, Upper Trapezius, Serratus Anterior","Compound","Dumbbells, Bench with Back Support","Beginner","Upper","Push","Free Weight","1. Sit with back support 2. Dumbbells at shoulder height 3. Press overhead 4. Lock out at top 5. Lower to shoulders","1. Greater ROM than barbell 2. Independent arm movement 3. Reduced stability demand 4. Converge slightly at top 5. Controlled tempo (2-0-2-1)","Saeterbakken AH et al. (2013). Muscle activity during shoulder press variations. J Strength Cond Res 27(7):1824-1831","Bodybuilding, General Strength","https://exrx.net/WeightExercises/DeltoidAnterior/DBShoulderPress","https://www.jefit.com/exercises/39/dumbbell-shoulder-press","[TBD]"
"Cable Lateral Raise","Medial Deltoid","Anterior Deltoid, Supraspinatus","Isolation","Cable Machine","Intermediate","Upper","Push","Cables","1. Cable at low position, opposite hand 2. Stand perpendicular to machine 3. Raise across body to shoulder height 4. Control descent 5. Repeat other side","1. Constant tension advantage 2. Unilateral focus 3. Reduced momentum capability 4. Peak contraction at top 5. Smooth arc motion","Schoenfeld BJ et al. (2010). Mechanisms of muscle hypertrophy. J Strength Cond Res 24(10):2857-2872","Bodybuilding, Hypertrophy Training","https://exrx.net/WeightExercises/DeltoidLateral/CBLateralRaise","https://www.jefit.com/exercises/1034/one-arm-cable-lateral-raise","[TBD]"
"Arnold Press","Anterior/Medial Deltoid","Triceps, Rotator Cuff, Upper Trapezius","Compound","Dumbbells","Advanced","Upper","Push","Free Weight","1. Start palms facing, dumbbells at chin 2. Press and rotate to neutral 3. Full overhead lockout 4. Reverse rotation descending 5. Return to start position","1. Rotation engages multiple angles 2. Greater anterior delt activation 3. Continuous tension 4. Requires shoulder mobility 5. Moderate loads recommended","Paoli A et al. (2010). Effect of different variations on muscle activation. J Sports Med Phys Fitness 50(3):319-323","Bodybuilding, Functional Training","https://exrx.net/WeightExercises/DeltoidAnterior/DBArnoldPress","https://www.jefit.com/exercises/124/arnold-dumbbell-press","[TBD]"
"Front Raise","Anterior Deltoid","Medial Deltoid, Clavicular Pectoralis, Serratus Anterior","Isolation","Dumbbells or Weight Plate","Beginner","Upper","Push","Free Weight","1. Stand with weights at thighs 2. Raise to eye level 3. Slight bend in elbows 4. Control descent 5. Alternate or both arms","1. Stop at shoulder/eye level 2. Avoid momentum 3. Eccentric control crucial 4. Neutral or pronated grip 5. Often redundant with pressing","Campos YAC et al. (2020). EMG activity in shoulder exercises. J Hum Kinet 75:5-14","Bodybuilding, Shoulder Aesthetics","https://exrx.net/WeightExercises/DeltoidAnterior/DBFrontRaise","https://www.jefit.com/exercises/42/front-dumbbell-raise","[TBD]"
"Reverse Pec Deck","Posterior Deltoid","Rhomboids, Middle Trapezius, Infraspinatus","Isolation","Pec Deck Machine (Reverse)","Beginner","Upper","Pull","Fixed Resistance","1. Face machine, chest on pad 2. Grip handles 3. Fly outward to horizontal 4. Squeeze scapulae 5. Return with control","1. Fixed movement path 2. Excellent rear delt isolation 3. Minimal momentum possible 4. Protract to stretch 5. Retract to contract","Schoenfeld BJ et al. (2013). Muscle activation patterns. J Strength Cond Res 27(8):2240-2249","Bodybuilding, Shoulder Balance","https://exrx.net/WeightExercises/DeltoidPosterior/LVRearDeltFly","https://www.jefit.com/exercises/163/reverse-pec-deck","[TBD]"
"Pike Push-Up","Anterior/Medial Deltoid","Triceps, Serratus Anterior, Upper Trapezius","Compound","Bodyweight","Intermediate","Upper","Push","Bodyweight","1. Start in downward dog position 2. Hands shoulder-width 3. Lower head to floor 4. Press back up 5. Maintain pike position","1. Progression to handstand push-up 2. Greater shoulder emphasis than regular push-up 3. Scalable by elevation 4. Core stability demand 5. Vertical pressing pattern","Borreani S et al. (2015). Muscle activation during push-up variations. J Strength Cond Res 29(1):265-275","Calisthenics, CrossFit, Gymnastics","https://exrx.net/WeightExercises/DeltoidAnterior/BWPikePushup","https://www.jefit.com/exercises/1127/pike-push-up","[TBD]"
"Landmine Press","Anterior/Medial Deltoid","Triceps, Serratus Anterior, Core (anti-rotation)","Compound","Barbell in Landmine or Corner","Intermediate","Upper","Push","Free Weight","1. Load one end of barbell 2. Press at angle overhead 3. Slight rotation acceptable 4. Control descent 5. Alternate sides","1. Shoulder-friendly pressing angle 2. Anti-rotation core demand 3. Unilateral instability 4. Natural arc motion 5. Excellent for shoulder health","Calatayud J et al. (2016). Muscle activity levels in shoulder exercises. Sports Biomech 15(1):42-53","Functional Training, Rehabilitation, Athletic Performance","https://exrx.net/WeightExercises/DeltoidAnterior/BBLandminePress","https://www.jefit.com/exercises/1188/landmine-press","[TBD]"
"Face Pulls with External Rotation","Posterior Deltoid, Infraspinatus, Teres Minor","Rhomboids, Middle Trapezius, Supraspinatus","Isolation","Cable with Rope Attachment","Beginner","Upper","Pull","Cables","1. Cable at face height 2. Pull rope to face 3. Externally rotate at end 4. Hands beside ears 5. Control return","1. Critical for shoulder health 2. External rotation component key 3. High volume tolerated 4. Scapular retraction emphasis 5. Pull apart rope at finish","Schoenfeld BJ et al. (2013). Training protocols and muscle activation. J Strength Cond Res 27(8):2240-2249","Baseball, Swimming, Throwing Athletes, Shoulder Prehab","https://exrx.net/WeightExercises/DeltoidPosterior/CBRearDeltRow","https://www.jefit.com/exercises/1059/cable-face-pull","[TBD]"
"Barbell Bicep Curl","Biceps Brachii (both heads)","Brachialis, Brachioradialis, Forearm Flexors","Isolation","Barbell (Straight or EZ)","Beginner","Upper","Pull","Free Weight","1. Stand with barbell at thighs 2. Supinated grip shoulder-width 3. Curl to shoulders 4. Squeeze at top 5. Lower with control","1. Fixed wrist supination 2. Avoid momentum/swinging 3. Elbows stationary 4. Full ROM crucial 5. Eccentric control 3 sec","Marcolin G et al. (2018). EMG analysis of biceps exercises. Eur J Appl Physiol 118(2):371-380","Bodybuilding, General Arm Development","[TBD]","[TBD]","[TBD]"
"Dumbbell Hammer Curl","Brachialis, Brachioradialis","Biceps Brachii (short head), Forearm Muscles","Isolation","Dumbbells","Beginner","Upper","Pull","Free Weight","1. Stand with dumbbells at sides 2. Neutral grip (palms facing) 3. Curl to shoulders 4. Squeeze at top 5. Lower with control","1. Neutral grip emphasizes brachialis 2. Builds arm thickness 3. Easier on wrists 4. Can alternate or simultaneous 5. Forearm development","Boeckh-Behrens WU, Buskies W (2000). Fitness Strength Training: The Best Exercises and Methods for Sport and Health. Rowohlt Taschenbuch Verlag","Climbing, General Strength, Arm Size","[TBD]","[TBD]","[TBD]"
"Preacher Curl (EZ Bar)","Biceps Brachii (short head emphasis)","Brachialis","Isolation","EZ Curl Bar, Preacher Bench","Intermediate","Upper","Pull","Free Weight","1. Sit at preacher bench 2. Arms over pad, fully extended 3. Curl bar to shoulders 4. Peak contraction 5. Lower to full extension","1. Eliminates momentum completely 2. Constant tension on biceps 3. Short head emphasis 4. Full stretch at bottom 5. Controlled eccentric critical","Oliveira LF et al. (2009). EMG activity of biceps during curl variations. J Strength Cond Res 23(7):2045-2050","Bodybuilding, Bicep Peak Development","[TBD]","[TBD]","[TBD]"
