"Exercise","Primary Muscles","Secondary Muscles","Type","Equipment","Level","Body Region","Movement","Modality","Steps for Beginners","Advanced Key Points","Scientific Reference","Sports Tags","ExRx Video","JEFIT Video","CoachWhitt Video"
"Cable Bicep Curl","Biceps Brachii, Brachialis","Brachioradialis, Forearm Flexors","Isolation","Cable Machine with Bar Attachment","Beginner","Upper","Pull","Cables","1. Stand facing cable machine 2. Grip bar, arms extended 3. Curl to shoulders 4. Squeeze biceps 5. Control descent","1. Constant tension throughout 2. Adjustable resistance curve 3. Bilateral or unilateral 4. Excellent pump effect 5. Reduced cheating capability","Boeckh-Behrens WU, Buskies W (2000). Strength training exercise analysis. Rowohlt Taschenbuch Verlag","Bodybuilding, Hypertrophy Training","[TBD]","[TBD]","[TBD]"
"Concentration Curl","Biceps Brachii (short head)","Brachialis","Isolation","Dumbbell","Intermediate","Upper","Pull","Free Weight","1. Sit, elbow against inner thigh 2. Arm fully extended 3. Curl to shoulder 4. Peak contraction hold 5. Lower slowly","1. Maximum isolation possible 2. Minimal momentum 3. Strong mind-muscle connection 4. Unilateral focus 5. Short head activation","Oliveira LF et al. (2009). EMG comparison of curl exercises. J Strength Cond Res 23(7):2045-2050","Bodybuilding, Isolation Work","[TBD]","[TBD]","[TBD]"
"Chin-Up (Bicep Focus)","Biceps Brachii, Brachialis","Latissimus Dorsi, Lower Trapezius, Posterior Deltoid","Compound","Pull-Up Bar","Intermediate","Upper","Pull","Bodyweight","1. Supinated grip shoulder-width 2. Hang at full extension 3. Pull chest to bar 4. Squeeze biceps at top 5. Lower 3 seconds","1. Compound arm builder 2. Heavy load on biceps 3. Full body tension 4. Supinated grip crucial 5. Dead hang each rep","Youdas JW et al. (2010). EMG during pull-up variations. J Strength Cond Res 24(7):1941-1949","Calisthenics, Functional Strength, Military","[TBD]","[TBD]","[TBD]"
"Incline Dumbbell Curl","Biceps Brachii (long head emphasis)","Brachialis, Brachioradialis","Isolation","Dumbbells, Incline Bench (45-60°)","Advanced","Upper","Pull","Free Weight","1. Sit on incline bench 2. Arms hanging perpendicular to floor 3. Curl alternating or together 4. Squeeze at top 5. Lower to full extension","1. Maximizes bicep stretch 2. Long head emphasis 3. Reduced momentum capability 4. Greater ROM 5. Supination throughout","Marcolin G et al. (2018). EMG of biceps curl variations. Eur J Appl Physiol 118(2):371-380","Bodybuilding, Bicep Length Development","[TBD]","[TBD]","[TBD]"
"Cable Hammer Curl (Rope)","Brachialis, Brachioradialis","Biceps Brachii, Forearm Muscles","Isolation","Cable Machine with Rope Attachment","Intermediate","Upper","Pull","Cables","1. Face cable machine 2. Grip rope ends, neutral grip 3. Curl to shoulders 4. Squeeze 5. Control descent","1. Constant tension on brachialis 2. Can pull rope apart at top 3. Neutral grip maintained 4. Excellent brachialis builder 5. Smooth resistance curve","Boeckh-Behrens WU, Buskies W (2000). Exercise analysis for strength training. Rowohlt Taschenbuch Verlag","Bodybuilding, Arm Thickness","[TBD]","[TBD]","[TBD]"
"Spider Curl","Biceps Brachii (short head)","Brachialis","Isolation","EZ Bar or Dumbbells, Preacher Bench (Reverse Side)","Advanced","Upper","Pull","Free Weight","1. Lie prone on incline preacher bench 2. Arms hanging vertical 3. Curl to peak contraction 4. Squeeze hard 5. Lower with control","1. Eliminates all momentum 2. Constant tension 3. Short head emphasis 4. Peak contraction focused 5. Arms perpendicular to floor","Oliveira LF et al. (2009). EMG activity in biceps exercises. J Strength Cond Res 23(7):2045-2050","Bodybuilding, Advanced Training","[TBD]","[TBD]","[TBD]"
"Reverse Barbell Curl","Brachioradialis, Brachialis","Biceps Brachii, Wrist Extensors","Isolation","Barbell (Straight or EZ)","Intermediate","Upper","Pull","Free Weight","1. Stand with pronated grip 2. Barbell at thighs 3. Curl to shoulders 4. Squeeze forearms 5. Lower with control","1. Forearm and brachialis emphasis 2. Builds arm thickness 3. Wrist extensor engagement 4. Lighter loads required 5. Improves grip strength","Boeckh-Behrens WU, Buskies W (2000). Strength training exercises. Rowohlt Taschenbuch Verlag","Rock Climbing, Grip Sports, Arm Development","[TBD]","[TBD]","[TBD]"
"Close-Grip Bench Press","Triceps Brachii (all heads)","Pectoralis Major, Anterior Deltoid","Compound","Barbell, Flat Bench","Intermediate","Upper","Push","Free Weight","1. Lie on bench, grip inside shoulder-width 2. Unrack bar 3. Lower to lower chest 4. Press to lockout 5. Elbows closer to body","1. Hands 12-16 inches apart 2. Elbows 30-45° from body 3. Heavy load capacity 4. Mass builder for triceps 5. Maintain wrist alignment","Lehman GJ (2005). Grip width effects on muscle activity. J Strength Cond Res 19(3):587-591","Powerlifting, Strongman, Press Sports","[TBD]","[TBD]","[TBD]"
"Overhead Dumbbell Extension","Triceps Brachii (long head emphasis)","Lateral/Medial Heads","Isolation","Dumbbell","Beginner","Upper","Push","Free Weight","1. Sit or stand, dumbbell overhead 2. Lower behind head 3. Deep stretch position 4. Extend to lockout 5. Control descent","1. Long head maximal stretch 2. Elbow position fixed 3. Overhead position crucial 4. Full ROM essential 5. Controlled eccentric","Boeckh-Behrens WU, Buskies W (2000). Fitness strength training exercises. Rowohlt Taschenbuch Verlag","Bodybuilding, Overhead Athletes","[TBD]","[TBD]","[TBD]"
"Tricep Pushdown (Straight Bar)","Triceps Brachii (lateral head emphasis)","Medial/Long Heads, Anconeus","Isolation","Cable Machine with Straight Bar","Beginner","Upper","Push","Cables","1. Face cable machine, bar at chest 2. Elbows at sides 3. Push down to full extension 4. Squeeze triceps 5. Control return","1. Elbows stationary 2. Lateral head activation 3. Full lockout crucial 4. Avoid leaning forward 5. High rep tolerance","Boeckh-Behrens WU, Buskies W (2000). Exercise analysis. Rowohlt Taschenbuch Verlag","Bodybuilding, General Tricep Development","[TBD]","[TBD]","[TBD]"
"Dips (Tricep Emphasis)","Triceps Brachii","Pectoralis Major, Anterior Deltoid","Compound","Parallel Bars","Intermediate","Upper","Push","Bodyweight","1. Grip bars shoulder-width 2. Remain upright (not leaning) 3. Lower until 90° elbow bend 4. Press to lockout 5. Elbows close to body","1. Upright torso = tricep focus 2. Heavy loading possible 3. Full ROM essential 4. Can add weight belt 5. Mass builder exercise","Gołaś A et al. (2017). Analysis of compound exercises. J Strength Cond Res 31(11):3033-3038","Calisthenics, Gymnastics, Powerlifting","[TBD]","[TBD]","[TBD]"
"Skull Crushers","Triceps Brachii (all heads)","Anconeus","Isolation","EZ Bar or Dumbbells, Flat Bench","Intermediate","Upper","Push","Free Weight","1. Lie flat, bar at forehead level 2. Lower bar to forehead/behind head 3. Extend to arms vertical 4. Elbows fixed position 5. Control eccentric","1. Upper arms perpendicular to floor 2. Elbows stay fixed 3. Can lower past forehead 4. Moderate weights safer 5. Long head stretch","Boeckh-Behrens WU, Buskies W (2000). Strength training methods. Rowohlt Taschenbuch Verlag","Bodybuilding, Tricep Mass","[TBD]","[TBD]","[TBD]"
"Diamond Push-Ups","Triceps Brachii","Pectoralis Major (sternal), Anterior Deltoid, Core","Compound","Bodyweight","Intermediate","Upper","Push","Bodyweight","1. Hands form diamond shape 2. Body straight line 3. Lower chest to hands 4. Press to lockout 5. Maintain form","1. Hands directly under chest 2. Greater tricep activation 3. Elbows close to body 4. Challenging bodyweight exercise 5. Core engagement crucial","Cogley RM et al. (2005). EMG of push-up variations. J Strength Cond Res 19(3):628-633","Calisthenics, Military, Home Training","[TBD]","[TBD]","[TBD]"
"Cable Overhead Tricep Extension","Triceps Brachii (long head)","Lateral/Medial Heads","Isolation","Cable Machine with Rope","Advanced","Upper","Push","Cables","1. Face away from cable 2. Rope behind head 3. Extend overhead 4. Full lockout 5. Control return","1. Constant tension on long head 2. Walk forward for stretch 3. Elbows forward 4. Full extension crucial 5. Can split rope at top","Boeckh-Behrens WU, Buskies W (2000). Fitness exercises. Rowohlt Taschenbuch Verlag","Bodybuilding, Long Head Development","[TBD]","[TBD]","[TBD]"
"Kickbacks (Dumbbell)","Triceps Brachii (long head)","Lateral/Medial Heads, Posterior Deltoid","Isolation","Dumbbells, Bench","Beginner","Upper","Push","Free Weight","1. Support with one hand on bench 2. Upper arm parallel to floor 3. Extend forearm back 4. Squeeze at lockout 5. Control descent","1. Upper arm stationary 2. Full extension critical 3. Light weight, high reps 4. Mind-muscle connection 5. Unilateral focus","Boeckh-Behrens WU, Buskies W (2000). Exercise methods. Rowohlt Taschenbuch Verlag","Bodybuilding, Isolation Work","[TBD]","[TBD]","[TBD]"
"Tricep Pushdown (Rope)","Triceps Brachii (lateral head)","Medial/Long Heads","Isolation","Cable Machine with Rope Attachment","Beginner","Upper","Push","Cables","1. Face cable machine 2. Grip rope ends 3. Push down and apart 4. Full extension with split 5. Control return","1. Pull rope apart at bottom 2. Lateral head emphasis 3. Full elbow extension 4. Elbows stationary 5. Squeeze contraction","Boeckh-Behrens WU, Buskies W (2000). Strength training analysis. Rowohlt Taschenbuch Verlag","Bodybuilding, Tricep Definition","[TBD]","[TBD]","[TBD]"
"Bench Dips","Triceps Brachii","Pectoralis Major (lower), Anterior Deltoid","Compound","Two Benches or Boxes","Beginner","Upper","Push","Bodyweight","1. Hands on bench behind you 2. Feet on bench in front 3. Lower body between benches 4. Press back up 5. Can add weight on lap","1. Shoulder-friendly angle 2. Scalable difficulty 3. Bodyweight or loaded 4. Full ROM beneficial 5. Keep shoulders back","Schoenfeld BJ et al. (2011). EMG of bodyweight exercises. J Strength Cond Res 25(12):3328-3336","Calisthenics, Home Training, General Fitness","[TBD]","[TBD]","[TBD]"
"Back Squat","Quadriceps, Gluteus Maximus, Hamstrings","Erector Spinae, Core, Adductors","Compound","Barbell, Squat Rack","Advanced","Lower","Push","Free Weight","1. Bar on upper traps 2. Feet shoulder-width 3. Descend to parallel or below 4. Drive through midfoot 5. Maintain neutral spine","1. Hip and knee hinge simultaneously 2. Depth crucial for development 3. Knees track over toes 4. Maintain upright torso 5. Brace core throughout","Schoenfeld BJ (2010). Squat biomechanics and muscle activation. J Strength Cond Res 24(10):2857-2872","Powerlifting, Olympic Lifting, All Sports","[TBD]","[TBD]","[TBD]"
"Front Squat","Quadriceps (vastus medialis, lateralis, intermedius)","Gluteus Maximus, Core, Erector Spinae","Compound","Barbell, Squat Rack","Advanced","Lower","Push","Free Weight","1. Bar on front delts, fingers under bar 2. Elbows high 3. Descend upright 4. Drive through full foot 5. Maintain torso position","1. More upright than back squat 2. Greater quad emphasis 3. Reduced spinal loading 4. Mobility demanding 5. Core stability crucial","Gullett JC et al. (2009). Biomechanical comparison of back and front squats. J Strength Cond Res 23(1):284-292","Olympic Lifting, CrossFit, Athletic Performance","[TBD]","[TBD]","[TBD]"
"Leg Press","Quadriceps, Gluteus Maximus","Hamstrings, Adductors","Compound","Leg Press Machine","Beginner","Lower","Push","Fixed Resistance","1. Feet shoulder-width on platform 2. Lower to 90° knee bend 3. Press through full foot 4. Controlled tempo 5. Don't lock knees hard","1. Foot position alters emphasis 2. High foot = glutes, low = quads 3. Back stays on pad 4. Full ROM beneficial 5. Heavy loading safe","Escamilla RF et al. (2001). Biomechanics of the leg press. Med Sci Sports Exerc 33(1):127-141","Bodybuilding, Rehabilitation, Beginner Training","[TBD]","[TBD]","[TBD]"
"Bulgarian Split Squat","Quadriceps, Gluteus Maximus","Hamstrings, Adductors, Hip Stabilizers","Compound","Dumbbells or Barbell, Bench","Intermediate","Lower","Push","Free Weight","1. Rear foot elevated on bench 2. Front foot 2-3 feet forward 3. Descend until front thigh parallel 4. Drive through front foot 5. Maintain upright torso","1. Unilateral leg developer 2. Greater ROM than regular squats 3. Balance and stability demand 4. Correct balance asymmetries 5. Front shin should be vertical","McCurdy KW et al. (2010). Comparison of split squat variations. J Strength Cond Res 24(2):502-510","Athletic Performance, Unilateral Strength, Functional Training","[TBD]","[TBD]","[TBD]"
"Walking Lunges","Quadriceps, Gluteus Maximus","Hamstrings, Adductors, Core (stability)","Compound","Dumbbells, Barbell, or Bodyweight","Beginner","Lower","Push","Free Weight","1. Step forward into lunge 2. Both knees 90° 3. Drive through front foot 4. Step forward with rear leg 5. Continue alternating","1. Dynamic movement pattern 2. Greater glute activation than static 3. Functional carryover 4. Balance component 5. Hip flexor stretch","Farrokhi S et al. (2008). Biomechanics of lunge variations. Clin Biomech 23(7):881-891","Sports Performance, Functional Training, General Fitness","[TBD]","[TBD]","[TBD]"
"Leg Extension","Quadriceps (all four heads)","None (isolation)","Isolation","Leg Extension Machine","Beginner","Lower","Push","Fixed Resistance","1. Sit with back against pad 2. Shins behind roller pad 3. Extend legs to full lockout 4. Squeeze quads at top 5. Lower with control","1. True quad isolation 2. Full lockout crucial 3. Adjust pad position 4. Controlled eccentric 5. Caution with knee issues","Escamilla RF et al. (1998). Knee biomechanics during leg extension. Med Sci Sports Exerc 30(10):1565-1573","Bodybuilding, Rehabilitation, Quad Development","[TBD]","[TBD]","[TBD]"
"Goblet Squat","Quadriceps, Gluteus Maximus","Hamstrings, Core, Upper Back","Compound","Dumbbell or Kettlebell","Beginner","Lower","Push","Free Weight","1. Hold weight at chest 2. Feet shoulder-width or wider 3. Descend between legs 4. Elbows push knees out 5. Drive up through full foot","1. Teaching tool for squat pattern 2. Promotes upright torso 3. Hip mobility developer 4. Counter-balance effect 5. Beginner friendly","McGill SM et al. (2015). Squat variations and spine loads. J Strength Cond Res 29(7):1983-1990","General Fitness, Beginner Training, Movement Pattern","[TBD]","[TBD]","[TBD]"
"Hack Squat (Machine)","Quadriceps (vastus lateralis, medialis)","Gluteus Maximus, Hamstrings","Compound","Hack Squat Machine","Intermediate","Lower","Push","Fixed Resistance","1. Back against pad, feet on platform 2. Lower by bending knees 3. Descend to 90° or below 4. Press through full foot 5. Controlled tempo","1. Fixed movement path 2. Excellent quad builder 3. Reduced stability demand 4. Safe for heavy loads 5. Foot position variations","Escamilla RF et al. (2001). Machine exercise biomechanics. Med Sci Sports Exerc 33(1):127-141","Bodybuilding, Quad Mass","[TBD]","[TBD]","[TBD]"
"Sissy Squat","Quadriceps (rectus femoris emphasis)","Hip Flexors","Isolation","Bodyweight or Light Weight","Advanced","Lower","Push","Bodyweight","1. Hold support, feet close together 2. Lean back while bending knees 3. Lower while maintaining lean 4. Return to start 5. Challenging knee flexion","1. Advanced bodyweight exercise 2. Extreme quad stretch 3. Knee-dominant pattern 4. Requires ankle mobility 5. Start with partial ROM","Schoenfeld BJ (2010). Mechanisms of hypertrophy. J Strength Cond Res 24(10):2857-2872","Bodybuilding, Advanced Quad Training","[TBD]","[TBD]","[TBD]"
"Step-Ups","Quadriceps, Gluteus Maximus","Hamstrings, Hip Stabilizers, Adductors","Compound","Dumbbells or Barbell, Box/Bench","Beginner","Lower","Push","Free Weight","1. Place foot on elevated surface 2. Drive through elevated foot 3. Stand fully on box 4. Lower with control 5. Repeat before switching","1. Unilateral developer 2. Functional movement pattern 3. Box height determines emphasis 4. Higher = more glutes 5. Balance component","Farrokhi S et al. (2008). Muscle activity during step exercises. Clin Biomech 23(7):881-891","Sports Performance, Rehabilitation, Functional Fitness","[TBD]","[TBD]","[TBD]"
"Romanian Deadlift (RDL)","Hamstrings, Gluteus Maximus","Erector Spinae, Lats, Forearms","Compound","Barbell or Dumbbells","Intermediate","Lower","Pull","Free Weight","1. Stand with barbell at thighs 2. Slight knee bend (fixed) 3. Hip hinge, lower bar to mid-shin 4. Feel hamstring stretch 5. Drive hips forward","1. Emphasis on eccentric hamstring 2. Bar stays close to legs 3. Neutral spine throughout 4. Stretch crucial for growth 5. Hip hinge, not squat","McAllister MJ et al. (2014). Muscle activation during deadlift variations. J Strength Cond Res 28(7):1909-1918","Olympic Lifting, Powerlifting, Athletic Performance","[TBD]","[TBD]","[TBD]"
"Hip Thrust (Barbell)","Gluteus Maximus","Hamstrings, Adductors, Core","Isolation","Barbell, Bench","Intermediate","Lower","Push","Free Weight","1. Upper back on bench 2. Bar over hips (padded) 3. Feet flat, shoulder-width 4. Thrust hips up to parallel 5. Squeeze glutes at top","1. Peak glute activation exercise 2. Full hip extension crucial 3. Posterior pelvic tilt at top 4. Hold contraction 2 sec 5. Heavy loads tolerated","Contreras B et al. (2015). EMG comparison of gluteal exercises. J Strength Cond Res 29(4):1056-1066","Sprinting, Jumping, Glute Development, Athletics","[TBD]","[TBD]","[TBD]"
"Nordic Hamstring Curl","Hamstrings (biceps femoris, semitendinosus, semimembranosus)","Gastrocnemius, Gluteus Maximus","Isolation","Partner or Anchor Point","Advanced","Lower","Pull","Bodyweight","1. Kneel with ankles secured 2. Maintain straight line hip to head 3. Lower forward with control 4. Use hands to catch 5. Push back to start","1. Eccentric hamstring emphasis 2. Injury prevention benefits 3. Extremely challenging 4. Band assistance for beginners 5. Control descent 5+ sec","Mjølsnes R et al. (2004). 10-week Nordic hamstring study. Am J Sports Med 32(6):1459-1467","Soccer, Sprinting, Hamstring Injury Prevention","[TBD]","[TBD]","[TBD]"
"Lying Leg Curl","Hamstrings","Gastrocnemius, Gluteus Maximus","Isolation","Leg Curl Machine","Beginner","Lower","Pull","Fixed Resistance","1. Lie prone on machine 2. Ankles behind roller pad 3. Curl to maximal flexion 4. Squeeze hamstrings 5. Lower with control","1. True hamstring isolation 2. Full ROM essential 3. Hips stay on pad 4. Controlled eccentric 3 sec 5. Point toes for calf reduction","Wright GA et al. (1999). EMG of hamstring exercises. J Strength Cond Res 13(4):370-375","Bodybuilding, Hamstring Development","[TBD]","[TBD]","[TBD]"
"Glute-Ham Raise","Hamstrings, Gluteus Maximus","Erector Spinae, Gastrocnemius","Compound","Glute-Ham Developer (GHD)","Advanced","Lower","Pull","Fixed Resistance","1. Secure feet in GHD 2. Start horizontal 3. Lower torso down 4. Curl back to horizontal 5. Use hands if needed","1. Combines knee and hip extension 2. Full hamstring function 3. Extremely challenging 4. Band assistance helpful 5. Eccentric strength builder","Ebben WP (2009). Hamstring activation during exercises. Int J Sports Physiol Perform 4(1):84-96","Athletic Performance, Strength Sports","[TBD]","[TBD]","[TBD]"
"Single-Leg Romanian Deadlift","Hamstrings, Gluteus Maximus","Erector Spinae, Hip Stabilizers, Core","Compound","Dumbbell or Kettlebell","Intermediate","Lower","Pull","Free Weight","1. Stand on one leg 2. Slight knee bend 3. Hinge at hip, extend free leg back 4. Lower weight to shin 5. Drive through standing leg","1. Unilateral balance demand 2. Anti-rotation core work 3. Hip stability crucial 4. Functional movement 5. Addresses asymmetries","McCurdy K et al. (2014). Single-leg deadlift biomechanics. J Strength Cond Res 28(5):1385-1392","Athletic Performance, Balance, Functional Training","[TBD]","[TBD]","[TBD]"
"Cable Pull-Through","Gluteus Maximus, Hamstrings","Erector Spinae, Core","Compound","Cable Machine with Rope","Beginner","Lower","Pull","Cables","1. Face away from cable 2. Rope between legs 3. Hip hinge forward 4. Drive hips through 5. Squeeze glutes at finish","1. Hip hinge teaching tool 2. Constant tension on glutes 3. Reduced technical demand 4. Glute activation focus 5. High rep tolerance","Contreras B et al. (2015). EMG of hip extension exercises. J Strength Cond Res 29(4):1056-1066","Hip Hinge Pattern, Glute Development","[TBD]","[TBD]","[TBD]"
"Sumo Deadlift","Gluteus Maximus, Adductors, Quadriceps","Hamstrings, Erector Spinae, Lats","Compound","Barbell","Advanced","Lower","Pull","Free Weight","1. Wide stance, toes out 45° 2. Grip inside knees 3. Chest up, neutral spine 4. Drive through full foot 5. Lock out hips","1. More quad/glute dominant 2. Reduced spinal loading 3. Shorter bar path 4. Adductor emphasis 5. Mobility dependent","Escamilla RF et al. (2002). Sumo vs conventional deadlift. Med Sci Sports Exerc 34(4):682-688","Powerlifting, Strength Sports","[TBD]","[TBD]","[TBD]"
"Good Morning","Hamstrings, Gluteus Maximus, Erector Spinae","Adductors, Lats","Compound","Barbell","Intermediate","Lower","Pull","Free Weight","1. Bar on upper back 2. Slight knee bend (fixed) 3. Hip hinge forward 4. Feel hamstring stretch 5. Drive hips forward","1. Posterior chain developer 2. Similar to RDL but bar position differs 3. Lighter loads recommended 4. Hip hinge pattern 5. Neutral spine crucial","McAllister MJ et al. (2014). Posterior chain exercise EMG. J Strength Cond Res 28(7):1909-1918","Powerlifting, Posterior Chain Strength","[TBD]","[TBD]","[TBD]"
"Seated Leg Curl","Hamstrings (short head emphasis)","Gastrocnemius","Isolation","Seated Leg Curl Machine","Beginner","Lower","Pull","Fixed Resistance","1. Sit with thighs secured 2. Ankles on roller pad 3. Curl heels toward glutes 4. Squeeze hamstrings 5. Return with control","1. Hip flexion pre-stretches hamstrings 2. Greater ROM than lying version 3. Isolated hamstring work 4. Controlled tempo 5. Full contraction crucial","Wright GA et al. (1999). Hamstring exercise EMG comparison. J Strength Cond Res 13(4):370-375","Bodybuilding, Hamstring Isolation","[TBD]","[TBD]","[TBD]"
"Plank (Front)","Rectus Abdominis, Transverse Abdominis","Erector Spinae, Obliques, Shoulders","Isolation","Bodyweight","Beginner","Core","Static","Bodyweight","1. Forearms on ground, elbows under shoulders 2. Body straight line 3. Engage core 4. Hold position 5. Breathe normally","1. Anti-extension core exercise 2. Neutral spine position 3. Squeeze glutes 4. Pull elbows toward feet 5. Progress to longer holds","Schoenfeld BJ et al. (2014). Core muscle activation during exercises. J Strength Cond Res 28(11):3021-3028","All Sports, Core Stability","[TBD]","[TBD]","[TBD]"
"Cable Woodchop (High to Low)","Internal/External Obliques, Transverse Abdominis","Rectus Abdominis, Shoulders, Hips","Compound","Cable Machine","Intermediate","Core","Pull","Cables","1. Cable at high position 2. Stand perpendicular to machine 3. Rotate and pull down across body 4. Control return 5. Repeat other side","1. Rotational power development 2. Anti-rotation component 3. Full body integration 4. Maintain straight arms 5. Rotate from core","McGill SM et al. (2010). Core exercises and spine loads. J Strength Cond Res 24(12):3316-3324","Baseball, Golf, Tennis, Rotational Sports","[TBD]","[TBD]","[TBD]"
"Hanging Leg Raise","Rectus Abdominis (lower emphasis), Hip Flexors","Obliques, Lats (stabilization)","Isolation","Pull-Up Bar","Advanced","Core","Pull","Bodyweight","1. Hang from bar 2. Engage core 3. Raise legs to parallel 4. Lower with control 5. Avoid swinging","1. Advanced ab exercise 2. Hip flexor involvement 3. Posterior pelvic tilt crucial 4. Controlled tempo 5. Progress to toes-to-bar","Snarr RL, Esco MR (2014). EMG of abdominal exercises. J Strength Cond Res 28(4):1122-1129","Gymnastics, Calisthenics, Advanced Core","[TBD]","[TBD]","[TBD]"
"Pallof Press","Transverse Abdominis, Obliques","Rectus Abdominis, Shoulders","Isolation","Cable Machine or Band","Beginner","Core","Push","Cables","1. Cable at chest height 2. Stand perpendicular to machine 3. Hold handle at chest 4. Press out and hold 5. Return and repeat","1. Anti-rotation core exercise 2. Stabilization emphasis 3. Maintain upright posture 4. Resist rotation force 5. Functional core strength","McGill SM et al. (2010). Stability exercises and spine loads. J Strength Cond Res 24(12):3316-3324","Athletic Performance, Core Stability, Rehabilitation","[TBD]","[TBD]","[TBD]"
